trial_id,rmse,timestamp,checkpoint_dir_name,done,training_iteration,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,experiment_tag,config/mf_dim,config/mlp_layers,config/dropout,config/lr,config/weight_decay,config/batch_size
c73e0_00000,0.8824589645743959,1733931117,,True,1,2024-12-11_16-31-57,925.3836686611176,925.3836686611176,4124216,das8gpu6,10.36.97.83,925.3836686611176,1,"0_batch_size=512,dropout=0.1000,lr=0.0100,mf_dim=4,mlp_layers=8_4,weight_decay=0.0010",4,"[8, 4]",0.1,0.01,0.001,512
c73e0_00001,0.8916825067652128,1733931153,,True,1,2024-12-11_16-32-33,960.4439980983734,960.4439980983734,4124096,das8gpu6,10.36.97.83,960.4439980983734,1,"1_batch_size=1024,dropout=0.1000,lr=0.0100,mf_dim=4,mlp_layers=8_4,weight_decay=0.0010",4,"[8, 4]",0.1,0.01,0.001,1024
c73e0_00002,0.8696350840688061,1733930807,,True,1,2024-12-11_16-26-47,615.5632436275482,615.5632436275482,4123788,das8gpu6,10.36.97.83,615.5632436275482,1,"2_batch_size=2048,dropout=0.1000,lr=0.0100,mf_dim=4,mlp_layers=8_4,weight_decay=0.0010",4,"[8, 4]",0.1,0.01,0.001,2048
c73e0_00003,0.8762995232751114,1733930991,,True,1,2024-12-11_16-29-51,798.9882781505585,798.9882781505585,4124000,das8gpu6,10.36.97.83,798.9882781505585,1,"3_batch_size=4096,dropout=0.1000,lr=0.0100,mf_dim=4,mlp_layers=8_4,weight_decay=0.0010",4,"[8, 4]",0.1,0.01,0.001,4096
c73e0_00004,0.9086545950278277,1733931023,,True,1,2024-12-11_16-30-23,831.3392930030823,831.3392930030823,4124079,das8gpu6,10.36.97.83,831.3392930030823,1,"4_batch_size=512,dropout=0.1500,lr=0.0100,mf_dim=4,mlp_layers=8_4,weight_decay=0.0010",4,"[8, 4]",0.15,0.01,0.001,512
c73e0_00005,0.9000465787914205,1733931113,,True,1,2024-12-11_16-31-53,922.4288458824158,922.4288458824158,4124042,das8gpu6,10.36.97.83,922.4288458824158,1,"5_batch_size=1024,dropout=0.1500,lr=0.0100,mf_dim=4,mlp_layers=8_4,weight_decay=0.0010",4,"[8, 4]",0.15,0.01,0.001,1024
c73e0_00006,0.8763411910076124,1733930669,,True,1,2024-12-11_16-24-29,477.11478567123413,477.11478567123413,4125102,das8gpu6,10.36.97.83,477.11478567123413,1,"6_batch_size=2048,dropout=0.1500,lr=0.0100,mf_dim=4,mlp_layers=8_4,weight_decay=0.0010",4,"[8, 4]",0.15,0.01,0.001,2048
c73e0_00007,0.8690963155840201,1733931138,,True,1,2024-12-11_16-32-18,946.046950340271,946.046950340271,4123785,das8gpu6,10.36.97.83,946.046950340271,1,"7_batch_size=4096,dropout=0.1500,lr=0.0100,mf_dim=4,mlp_layers=8_4,weight_decay=0.0010",4,"[8, 4]",0.15,0.01,0.001,4096
c73e0_00008,0.9130035284607173,1733931071,,True,1,2024-12-11_16-31-11,880.0077919960022,880.0077919960022,4124003,das8gpu6,10.36.97.83,880.0077919960022,1,"8_batch_size=512,dropout=0.2000,lr=0.0100,mf_dim=4,mlp_layers=8_4,weight_decay=0.0010",4,"[8, 4]",0.2,0.01,0.001,512
c73e0_00009,0.8869471553298179,1733930891,,True,1,2024-12-11_16-28-11,696.6710343360901,696.6710343360901,4123784,das8gpu6,10.36.97.83,696.6710343360901,1,"9_batch_size=1024,dropout=0.2000,lr=0.0100,mf_dim=4,mlp_layers=8_4,weight_decay=0.0010",4,"[8, 4]",0.2,0.01,0.001,1024
c73e0_00010,0.8908501120385744,1733930787,,True,1,2024-12-11_16-26-27,595.6233386993408,595.6233386993408,4123789,das8gpu6,10.36.97.83,595.6233386993408,1,"10_batch_size=2048,dropout=0.2000,lr=0.0100,mf_dim=4,mlp_layers=8_4,weight_decay=0.0010",4,"[8, 4]",0.2,0.01,0.001,2048
c73e0_00011,0.89981549215485,1733931144,,True,1,2024-12-11_16-32-24,948.2027473449707,948.2027473449707,4123969,das8gpu6,10.36.97.83,948.2027473449707,1,"11_batch_size=4096,dropout=0.2000,lr=0.0100,mf_dim=4,mlp_layers=8_4,weight_decay=0.0010",4,"[8, 4]",0.2,0.01,0.001,4096
c73e0_00012,0.9051832889184214,1733930952,,True,1,2024-12-11_16-29-12,759.9493143558502,759.9493143558502,4123971,das8gpu6,10.36.97.83,759.9493143558502,1,"12_batch_size=512,dropout=0.2500,lr=0.0100,mf_dim=4,mlp_layers=8_4,weight_decay=0.0010",4,"[8, 4]",0.25,0.01,0.001,512
c73e0_00013,0.9089012907882156,1733930556,,True,1,2024-12-11_16-22-36,364.5036962032318,364.5036962032318,4123893,das8gpu6,10.36.97.83,364.5036962032318,1,"13_batch_size=1024,dropout=0.2500,lr=0.0100,mf_dim=4,mlp_layers=8_4,weight_decay=0.0010",4,"[8, 4]",0.25,0.01,0.001,1024
c73e0_00014,0.8948024288739665,1733930683,,True,1,2024-12-11_16-24-43,488.25064063072205,488.25064063072205,4123790,das8gpu6,10.36.97.83,488.25064063072205,1,"14_batch_size=2048,dropout=0.2500,lr=0.0100,mf_dim=4,mlp_layers=8_4,weight_decay=0.0010",4,"[8, 4]",0.25,0.01,0.001,2048
c73e0_00015,0.8803666270078727,1733930861,,True,1,2024-12-11_16-27-41,669.3917083740234,669.3917083740234,4123859,das8gpu6,10.36.97.83,669.3917083740234,1,"15_batch_size=4096,dropout=0.2500,lr=0.0100,mf_dim=4,mlp_layers=8_4,weight_decay=0.0010",4,"[8, 4]",0.25,0.01,0.001,4096
c73e0_00016,0.8895248275088097,1733930627,,True,1,2024-12-11_16-23-47,436.45544147491455,436.45544147491455,4124298,das8gpu6,10.36.97.83,436.45544147491455,1,"16_batch_size=512,dropout=0.1000,lr=0.0050,mf_dim=4,mlp_layers=8_4,weight_decay=0.0010",4,"[8, 4]",0.1,0.005,0.001,512
c73e0_00017,0.8715250893952007,1733930614,,True,1,2024-12-11_16-23-34,421.02188897132874,421.02188897132874,4124250,das8gpu6,10.36.97.83,421.02188897132874,1,"17_batch_size=1024,dropout=0.1000,lr=0.0050,mf_dim=4,mlp_layers=8_4,weight_decay=0.0010",4,"[8, 4]",0.1,0.005,0.001,1024
c73e0_00018,0.861814771820334,1733930842,,True,1,2024-12-11_16-27-22,646.1498246192932,646.1498246192932,4123787,das8gpu6,10.36.97.83,646.1498246192932,1,"18_batch_size=2048,dropout=0.1000,lr=0.0050,mf_dim=4,mlp_layers=8_4,weight_decay=0.0010",4,"[8, 4]",0.1,0.005,0.001,2048
